method,dataset,scale,image_name,base_name,hr_path,lr_path,pred_path,error,width,height,crop_border,psnr_rgb,ssim_rgb,psnr_y,ssim_y,lpips,qalign_score
MambaIR,B100,4,38082.png,38082,/root/autodl-tmp/imageSR/B100/HR/38082.png,/root/autodl-tmp/imageSR/B100/LR_bicubic/X4/38082x4.png,/root/autodl-tmp/实验结果图对比/test_MambaIR_SR_x4/visualization/B100/38082x4_MambaIR.png,,480,320,4,25.941693261280943,0.6204306080447144,27.2665040691814,0.6463446788240205,0.559164822101593,2.2109375
MambaIR,B100,4,38092.png,38092,/root/autodl-tmp/imageSR/B100/HR/38092.png,/root/autodl-tmp/imageSR/B100/LR_bicubic/X4/38092x4.png,/root/autodl-tmp/实验结果图对比/test_MambaIR_SR_x4/visualization/B100/38092x4_MambaIR.png,,480,320,4,25.117675562173496,0.7094352376601468,26.412447151258284,0.7317492960114031,0.37763869762420654,2.794921875
MambaIR,B100,4,385039.png,385039,/root/autodl-tmp/imageSR/B100/HR/385039.png,/root/autodl-tmp/imageSR/B100/LR_bicubic/X4/385039x4.png,/root/autodl-tmp/实验结果图对比/test_MambaIR_SR_x4/visualization/B100/385039x4_MambaIR.png,,480,320,4,23.105716169355137,0.7070208806345818,24.44178419137224,0.7291487163354832,0.3487861156463623,2.931640625
MambaIR,B100,4,41033.png,41033,/root/autodl-tmp/imageSR/B100/HR/41033.png,/root/autodl-tmp/imageSR/B100/LR_bicubic/X4/41033x4.png,/root/autodl-tmp/实验结果图对比/test_MambaIR_SR_x4/visualization/B100/41033x4_MambaIR.png,,480,320,4,29.493315463008948,0.7727330207114959,30.832089821654964,0.8003082112813548,0.36525657773017883,2.416015625
MambaIR,B100,4,41069.png,41069,/root/autodl-tmp/imageSR/B100/HR/41069.png,/root/autodl-tmp/imageSR/B100/LR_bicubic/X4/41069x4.png,/root/autodl-tmp/实验结果图对比/test_MambaIR_SR_x4/visualization/B100/41069x4_MambaIR.png,,480,320,4,22.406730123204085,0.4949498537204164,23.71961323790341,0.5210033655171896,0.6449068188667297,2.77734375
MambaIR,B100,4,42012.png,42012,/root/autodl-tmp/imageSR/B100/HR/42012.png,/root/autodl-tmp/imageSR/B100/LR_bicubic/X4/42012x4.png,/root/autodl-tmp/实验结果图对比/test_MambaIR_SR_x4/visualization/B100/42012x4_MambaIR.png,,320,480,4,28.88259377441125,0.8260071434731125,30.21587389369537,0.841672012272192,0.30758583545684814,2.716796875
MambaIR,B100,4,42049.png,42049,/root/autodl-tmp/imageSR/B100/HR/42049.png,/root/autodl-tmp/imageSR/B100/LR_bicubic/X4/42049x4.png,/root/autodl-tmp/实验结果图对比/test_MambaIR_SR_x4/visualization/B100/42049x4_MambaIR.png,,480,320,4,32.20847245106204,0.9522032601311338,33.55718077970492,0.9604870998322796,0.07712253928184509,3.181640625
MambaIR,B100,4,43074.png,43074,/root/autodl-tmp/imageSR/B100/HR/43074.png,/root/autodl-tmp/imageSR/B100/LR_bicubic/X4/43074x4.png,/root/autodl-tmp/实验结果图对比/test_MambaIR_SR_x4/visualization/B100/43074x4_MambaIR.png,,480,320,4,28.6011497855656,0.8147736304886983,29.8572378557456,0.8330975992302135,0.32299527525901794,3.03515625
MambaIR,B100,4,45096.png,45096,/root/autodl-tmp/imageSR/B100/HR/45096.png,/root/autodl-tmp/imageSR/B100/LR_bicubic/X4/45096x4.png,/root/autodl-tmp/实验结果图对比/test_MambaIR_SR_x4/visualization/B100/45096x4_MambaIR.png,,480,320,4,34.82460650371513,0.929730926355829,36.223630397127245,0.94483569916321,0.17364706099033356,2.560546875
MambaIR,B100,4,54082.png,54082,/root/autodl-tmp/imageSR/B100/HR/54082.png,/root/autodl-tmp/imageSR/B100/LR_bicubic/X4/54082x4.png,/root/autodl-tmp/实验结果图对比/test_MambaIR_SR_x4/visualization/B100/54082x4_MambaIR.png,,320,480,4,27.46486155605435,0.7215208895981968,28.798425122872978,0.7452265658354038,0.4405990242958069,2.916015625
MambaIR,B100,4,55073.png,55073,/root/autodl-tmp/imageSR/B100/HR/55073.png,/root/autodl-tmp/imageSR/B100/LR_bicubic/X4/55073x4.png,/root/autodl-tmp/实验结果图对比/test_MambaIR_SR_x4/visualization/B100/55073x4_MambaIR.png,,320,480,4,21.16748441748481,0.5523592855165074,22.40884096375012,0.5848726472236887,0.5576622486114502,2.927734375
MambaIR,B100,4,58060.png,58060,/root/autodl-tmp/imageSR/B100/HR/58060.png,/root/autodl-tmp/imageSR/B100/LR_bicubic/X4/58060x4.png,/root/autodl-tmp/实验结果图对比/test_MambaIR_SR_x4/visualization/B100/58060x4_MambaIR.png,,480,320,4,19.899902482594964,0.6283974764542656,21.143178764356797,0.6484312195930853,0.4381777048110962,2.97265625
MambaIR,B100,4,62096.png,62096,/root/autodl-tmp/imageSR/B100/HR/62096.png,/root/autodl-tmp/imageSR/B100/LR_bicubic/X4/62096x4.png,/root/autodl-tmp/实验结果图对比/test_MambaIR_SR_x4/visualization/B100/62096x4_MambaIR.png,,480,320,4,24.58842394304724,0.8009751577664543,25.984814801075945,0.8190975953015371,0.21543797850608826,3.138671875
MambaIR,B100,4,65033.png,65033,/root/autodl-tmp/imageSR/B100/HR/65033.png,/root/autodl-tmp/imageSR/B100/LR_bicubic/X4/65033x4.png,/root/autodl-tmp/实验结果图对比/test_MambaIR_SR_x4/visualization/B100/65033x4_MambaIR.png,,480,320,4,24.03284493174393,0.6086948669473985,25.27530247177713,0.6512732049229131,0.4230080246925354,2.42578125
