dataset,scale,image_name,base_name,hr_path,lr_path,error,width,height,crop_border,psnr_rgb,ssim_rgb,psnr_y,ssim_y
Manga109,3,UltraEleven.png,ultraeleven,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/HR/UltraEleven.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/LR_bicubic/X3/UltraEleven_LRBI_x3.png,,826,1170,3,18.583600302535345,0.7435706235331846,19.364007703649342,0.7629182354180521
Manga109,3,UnbalanceTokyo.png,unbalancetokyo,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/HR/UnbalanceTokyo.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/LR_bicubic/X3/UnbalanceTokyo_LRBI_x3.png,,826,1170,3,23.315384512128567,0.8330632084756865,24.20683873866053,0.8502481943911571
Manga109,3,WarewareHaOniDearu.png,warewarehaonidearu,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/HR/WarewareHaOniDearu.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/LR_bicubic/X3/WarewareHaOniDearu_LRBI_x3.png,,826,1170,3,20.687533773928205,0.7587827806795672,22.025136843665432,0.8003707626625892
Manga109,3,YamatoNoHane.png,yamatonohane,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/HR/YamatoNoHane.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/LR_bicubic/X3/YamatoNoHane_LRBI_x3.png,,826,1170,3,27.555132885783152,0.9143564953139937,28.77016848355988,0.9361036680686673
Manga109,3,YasasiiAkuma.png,yasasiiakuma,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/HR/YasasiiAkuma.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/LR_bicubic/X3/YasasiiAkuma_LRBI_x3.png,,826,1170,3,23.992868021837303,0.834053697101044,24.51865175043256,0.8490276136731778
Manga109,3,YouchienBoueigumi.png,youchienboueigumi,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/HR/YouchienBoueigumi.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/LR_bicubic/X3/YouchienBoueigumi_LRBI_x3.png,,826,1170,3,22.544929042759808,0.8365422439976059,23.404602667647435,0.8579934543447281
Manga109,3,YoumaKourin.png,youmakourin,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/HR/YoumaKourin.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/LR_bicubic/X3/YoumaKourin_LRBI_x3.png,,826,1170,3,24.11029137080641,0.8076721456566182,25.08752196333754,0.8176970525192171
Manga109,3,YukiNoFuruMachi.png,yukinofurumachi,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/HR/YukiNoFuruMachi.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/LR_bicubic/X3/YukiNoFuruMachi_LRBI_x3.png,,826,1170,3,30.769115606049482,0.8972205336768891,32.43968368328349,0.9187273622395515
Manga109,3,YumeNoKayoiji.png,yumenokayoiji,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/HR/YumeNoKayoiji.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/LR_bicubic/X3/YumeNoKayoiji_LRBI_x3.png,,826,1170,3,27.393438247266335,0.8099886391281507,28.34716272883755,0.8300784739861345
Manga109,3,YumeiroCooking.png,yumeirocooking,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/HR/YumeiroCooking.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/LR_bicubic/X3/YumeiroCooking_LRBI_x3.png,,826,1170,3,23.9930583148945,0.8387194488071894,25.394722521456828,0.8558423176986207
Manga109,4,ARMS.png,arms,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/HR/ARMS.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/LR_bicubic/X4/ARMS_LRBI_x4.png,,826,1170,4,22.225160955560327,0.6211254563383949,23.55661487356187,0.645280379039623
Manga109,4,AisazuNihaIrarenai.png,aisazunihairarenai,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/HR/AisazuNihaIrarenai.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/LR_bicubic/X4/AisazuNihaIrarenai_LRBI_x4.png,,826,1170,4,23.341789194544894,0.654851529591231,25.275105841184097,0.6832694391516296
Manga109,4,AkkeraKanjinchou.png,akkerakanjinchou,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/HR/AkkeraKanjinchou.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/LR_bicubic/X4/AkkeraKanjinchou_LRBI_x4.png,,826,1170,4,19.53250868740783,0.6127581644311625,20.550674842725364,0.6280933449719367
Manga109,4,Akuhamu.png,akuhamu,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/HR/Akuhamu.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/LR_bicubic/X4/Akuhamu_LRBI_x4.png,,826,1170,4,25.895882000531042,0.8168838891216531,26.662844581476296,0.8404467652567201
